Item,Price,Amount,Total
"Motherboard, Case, Stock Cooler, 4 GB RAM",25,1,"25,00 €"
"INTEL Xeon X5460 LGA 775 3,16 GHz 12 MB 1333 MHz",12,2,"24,00 €"
Samsung DDR2 4GB 8GB 667MHz PC2-5300F ECC FB-DIMM,"5,79",2,"11,58 €"
"HDD 2 TB Hitachi 7,2K RPM","17,5",4,"70,00 €"
Intel pro 1000 dual port mt server adapter PCI-X,18,2,"36,00 €"
2nd Cooler,"18,5",1,"18,50 €"
PSU,0,1,"0,00 €"
Fans,,,"0,00 €"
SSD KingSpec 120GB,"15,06",1,"15,06 €"
SSD JSYERA S100 120GB,"15,49",1,"15,49 €"
Mini SAS 4i SFF-8087,"3,31",1,"3,31 €"
PCI Express x8 a x16,"1,78",2,"3,56 €"
Aluminum MOSFET Heatsinks 10x35x10mm,"0,24",10,"2,40 €"
Bolts,"0,4",4,"1,60 €"
Washers,"0,1",4,"0,40 €"
Thernal Grease,0,1,"0,00 €"
TOTAL,,,"226,90 €"
